rank,score,confidence,source_path,analysis_path,file_size_bytes,modified_utc,hash_match,has_schema_warning,table_count,total_row_count,reasons
1,66,high,C:\AppSogelink\ERAS_Connect_2026\CLIENT\client.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\client__1f83fae2dd07.mdb,909312,2025-10-14T09:27:37.281565+00:00,True,False,6,1680,+20 hash match; +20 CLIENT path; +8 modified within 1 year; +8 >=6 tables extracted; +10 >=1000 total rows
2,63,high,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv4\ITRv4.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv4__96f0e20272d7.mdb,729088,2026-03-23T12:32:08.954292+00:00,True,False,6,799,+20 hash match; +20 CLIENT path; +15 modified within 30 days; +8 >=6 tables extracted
3,57,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\c11_201.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\c11_201__93b63352fc8c.mdb,4194304,2021-03-01T08:21:30+00:00,True,False,17,40248,+20 hash match; +12 SYSTEME path; +15 >=10 tables extracted; +10 >=1000 total rows
4,57,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Comac.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Comac__a44696bcf1b0.mdb,4005888,2021-09-29T05:23:38+00:00,True,False,10,38419,+20 hash match; +12 SYSTEME path; +15 >=10 tables extracted; +10 >=1000 total rows
5,56,high,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\ITRv3.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv3__fd5013017036.mdb,729088,2025-06-26T19:48:20.353503+00:00,True,False,6,836,+20 hash match; +20 CLIENT path; +8 modified within 1 year; +8 >=6 tables extracted
6,56,high,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv2\ITRv2.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv2__fe69b72ac86c.mdb,729088,2025-08-01T13:39:21.312009+00:00,True,False,6,807,+20 hash match; +20 CLIENT path; +8 modified within 1 year; +8 >=6 tables extracted
7,55,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\SYSTEME.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\SYSTEME__4de4eb1693b5.mdb,303104,2026-04-23T09:44:14.483150+00:00,True,False,7,37,+20 hash match; +12 SYSTEME path; +15 modified within 30 days; +8 >=6 tables extracted
8,50,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Atlog\Atlog.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Atlog__13e47fb7fde8.mdb,913408,2018-11-15T08:43:44+00:00,True,False,6,1665,+20 hash match; +12 SYSTEME path; +8 >=6 tables extracted; +10 >=1000 total rows
9,48,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS23\ENEDIS23.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23__b95c26b01fba.mdb,729088,2025-12-15T10:56:12+00:00,True,False,6,799,+20 hash match; +12 SYSTEME path; +8 modified within 1 year; +8 >=6 tables extracted
10,48,high,C:\AppSogelink\ERAS_Connect_2026\CLIENT\enedis23\enedis23.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis23__251ae5c84ddf.mdb,729088,2024-05-23T12:56:04+00:00,True,False,6,795,+20 hash match; +20 CLIENT path; +8 >=6 tables extracted
11,48,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS22\ENEDIS22.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS22__808ae9780ce5.mdb,729088,2026-02-17T09:27:17.213944+00:00,True,False,6,721,+20 hash match; +12 SYSTEME path; +8 modified within 1 year; +8 >=6 tables extracted
12,48,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\enedis\enedis.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis__4374f351ac85.mdb,724992,2026-01-28T08:00:27.023642+00:00,True,False,6,603,+20 hash match; +12 SYSTEME path; +8 modified within 1 year; +8 >=6 tables extracted
13,45,high,C:\AppSogelink\ERAS_Connect_2026\CLIENT\Modele_SIG.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Modele_SIG__27dc1b587e20.mdb,1572864,2015-07-07T14:34:26+00:00,True,False,42,81,+20 hash match; +20 CLIENT path; -10 modele path/name; +15 >=10 tables extracted
14,40,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\FTTH\FTTH.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\FTTH__bade89b41e5f.mdb,311296,2020-12-30T15:28:06+00:00,True,False,6,430,+20 hash match; +12 SYSTEME path; +8 >=6 tables extracted
15,40,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\EauAss\eauAss.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\eauAss__c1a041defdd1.mdb,217088,2009-01-30T15:47:26+00:00,True,False,6,94,+20 hash match; +12 SYSTEME path; +8 >=6 tables extracted
16,40,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\SOURCE\SOURCE.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\SOURCE__10ea952fbd85.mdb,290816,2010-08-11T13:18:22+00:00,True,False,6,30,+20 hash match; +12 SYSTEME path; +8 >=6 tables extracted
17,37,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Atlog\modele_sig.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modele_sig__27dc1b587e20.mdb,1572864,2015-07-07T14:34:26+00:00,True,False,42,81,+20 hash match; +12 SYSTEME path; -10 modele path/name; +15 >=10 tables extracted
18,35,high,C:\AppSogelink\ERAS_Connect_2026\SEED\C11_201.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\C11_201__de89ce11c288.mdb,5132288,2024-02-21T14:04:46+00:00,True,False,17,40448,+20 hash match; -10 SEED path; +15 >=10 tables extracted; +10 >=1000 total rows
19,20,high,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\temp.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\temp__a7dca48c38c2.mdb,434176,2016-03-17T19:55:48+00:00,True,False,9,27,+20 hash match; +12 SYSTEME path; -20 temp path/name; +8 >=6 tables extracted
20,18,high,C:\AppSogelink\ERAS_Connect_2026\SEED\levels.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\levels__83a4d02c5645.mdb,290816,2007-11-12T16:44:26+00:00,True,False,7,11,+20 hash match; -10 SEED path; +8 >=6 tables extracted
21,15,high,C:\AppSogelink\ERAS_Connect_2026\SEED\Modele_SIG.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Modele_SIG__27dc1b587e20.mdb,1572864,2015-06-26T14:11:56+00:00,True,False,42,81,+20 hash match; -10 SEED path; -10 modele path/name; +15 >=10 tables extracted
22,5,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\GLOBLUTI.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\GLOBLUTI__2a2393abd7e2.mdb,39698432,2026-04-23T09:25:28.318466+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; +15 modified within 30 days; -20 no extracted tables
23,5,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\ITRv3_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv3___ae93f47dbeb1.mdb,15732736,2026-04-23T09:44:14.274935+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; +15 modified within 30 days; -20 no extracted tables
24,5,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv4\ITRv4_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv4___1d55017817f1.mdb,14184448,2026-04-21T21:18:00.065787+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; +15 modified within 30 days; -20 no extracted tables
25,5,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv2\ITRv2_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv2___fd622f48e247.mdb,10948608,2026-04-16T08:02:28.324749+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; +15 modified within 30 days; -20 no extracted tables
26,0,medium,C:\AppSogelink\ERAS_Connect_2026\SEED\modeleExportCaneco.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modeleExportCaneco__1c88aec901f6.mdb,307200,2011-02-25T13:54:44+00:00,True,False,2,0,+20 hash match; -10 SEED path; -10 modele path/name
27,-2,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\enedADL_cel.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedADL_cel__3b7acb984e91.mdb,958464,2025-04-30T14:35:15.057142+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; +8 modified within 1 year; -20 no extracted tables
28,-2,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\SAUVE\enedADL_cel.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedADL_cel__3b7acb984e91.mdb,958464,2025-04-30T14:35:15.057142+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; +8 modified within 1 year; -20 no extracted tables
29,-3,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS23\ENEDIS23_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23___87e0451d9168.mdb,14184448,2026-04-22T15:19:26.525604+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; +15 modified within 30 days; -20 no extracted tables
30,-3,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS22\ENEDIS22_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS22___bfd60e9bb301.mdb,10805248,2026-04-01T13:03:44.468908+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; +15 modified within 30 days; -20 no extracted tables
31,-3,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\enedis\enedis_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis___34498a4ade44.mdb,8957952,2026-04-23T09:44:14.243978+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; +15 modified within 30 days; -20 no extracted tables
32,-3,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\globlsys.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\globlsys__8e174f2092c4.mdb,1708032,2026-04-23T09:25:28.287777+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; +15 modified within 30 days; -20 no extracted tables
33,-10,low,C:\AppSogelink\ERAS_Connect_2026\CLIENT\enedis23\enedis23_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis23___b4781bdb9489.mdb,12300288,2024-05-23T12:55:06+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +20 CLIENT path; -20 no extracted tables
34,-18,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Atlog\Atlog_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Atlog___eb7dc3b3b1b7.mdb,13897728,2018-11-28T09:36:00+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; -20 no extracted tables
35,-18,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\FTTH\FTTH_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\FTTH___252d4cf5d6a9.mdb,6754304,2020-12-30T15:43:52+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; -20 no extracted tables
36,-18,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\EauAss\eauAss_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\eauAss___e453a8a4b65c.mdb,1867776,2009-01-30T15:46:22+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; -20 no extracted tables
37,-18,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\SOURCE\SOURCE_.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\SOURCE___16d297bcfca4.mdb,1638400,2010-08-11T09:30:56+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; -20 no extracted tables
38,-18,low,C:\AppSogelink\ERAS_Connect_2026\SYSTEME\EauAss\ext-champion- eu-ep-250_dwg.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ext-champion-_eu-ep-250_dwg__6d31c8b523d2.mdb,630784,2005-12-02T20:39:44+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; +12 SYSTEME path; -20 no extracted tables
39,-40,low,C:\AppSogelink\ERAS_Connect_2026\SEED\ENEDIS23_DGN.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23_DGN__b0d05f0db23e.mdb,958464,2023-12-14T19:24:30+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -20 no extracted tables
40,-40,low,C:\AppSogelink\ERAS_Connect_2026\SEED\enedis22_DGN.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis22_DGN__746ab9f2e721.mdb,958464,2022-11-02T15:07:54+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -20 no extracted tables
41,-40,low,C:\AppSogelink\ERAS_Connect_2026\SEED\enedis_DGN.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis_DGN__35d2ebf4c831.mdb,958464,2019-05-17T13:16:56+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -20 no extracted tables
42,-40,low,C:\AppSogelink\ERAS_Connect_2026\SEED\Affaires.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Affaires__53aaa8dfe53a.mdb,319488,2002-08-12T14:52:52+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -20 no extracted tables
43,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\modele.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modele__7e34ea0aa355.mdb,1277952,2006-06-22T17:10:30+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 modele path/name; -20 no extracted tables
44,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\modelevide.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modelevide__1606f9b0a3b6.mdb,1097728,2006-06-22T17:10:20+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 modele path/name; -20 no extracted tables
45,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\modeleAff.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\modeleAff__07f5ffa46fce.mdb,958464,2020-11-24T09:50:00+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 modele path/name; -20 no extracted tables
46,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFAER2012_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFAER2012_DGN_sht__b1729750e426.mdb,331776,2012-10-10T09:14:42+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
47,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFAER_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFAER_DGN_sht__b1729750e426.mdb,331776,2012-10-10T09:10:14+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
48,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\ENEDIS23_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23_DGN_sht__a65309b5fae7.mdb,233472,2023-12-14T19:24:30+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
49,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\enedis22_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis22_DGN_sht__bee2f0356f5d.mdb,233472,2022-11-02T15:07:54+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
50,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\enedis_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis_DGN_sht__1b03fd68d04a.mdb,233472,2018-02-12T15:31:20+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
51,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\FTTH_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\FTTH_DGN_sht__363622659586.mdb,233472,2015-08-20T14:45:46+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
52,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFSOUT2012_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFSOUT2012_DGN_sht__e55713b85369.mdb,233472,2011-01-25T20:31:44+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
53,-50,low,C:\AppSogelink\ERAS_Connect_2026\SEED\ERDFSOUT_DGN_sht.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ERDFSOUT_DGN_sht__e55713b85369.mdb,233472,2011-01-25T20:31:44+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -10 dgn_sht path/name; -20 no extracted tables
54,-60,low,C:\AppSogelink\ERAS_Connect_2026\SEED\Sheet.mdb,C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Sheet__5f080916af57.mdb,233472,2005-12-16T09:22:16+00:00,True,True,0,0,+20 hash match; -30 ODBC warning; -10 SEED path; -20 sheet path/name; -20 no extracted tables
